time_step,open_price,close_price,cash,stock_held,net_worth,action,action_type,quantity
118,107.1,107.6,97527.56990490863,58.497288098245065,103854.97738210889,0.06060670714137084,sell,307.6327496963755
119,107.95,108.2,76960.4496402245,248.39168450298754,103856.97647713874,0.258778766481222,buy,189.84525576707915
120,108.5,107.85,62827.28472654249,379.30541531257677,103749.49281387171,0.3942967616704516,buy,130.8621119494728
121,107.8,107.0,56836.87205625265,435.23465121956554,103412.96416498821,0.4503314265916809,buy,55.90404921439466
122,106.5,106.7,20892.066472665327,771.775388678801,103276.40934138029,0.7973595760850402,buy,336.2723934794798
123,104.5,106.0,101114.61856929556,14.201285361991268,102700.25767261823,0.014657570316616853,sell,757.5852075124992
124,105.5,105.95,11912.291624955426,855.2887202898773,102619.24475339854,0.8830491798343841,buy,840.344713358304
125,105.95,105.15,46957.54607104624,521.6668964109265,101845.90056343604,0.5385908893155975,sell,333.8015095537688
126,106.2,106.6,97988.18839725025,42.47623927908529,102567.237228451,0.04414633005142976,sell,479.21181164074846
127,106.6,106.05,41282.41315593523,576.6499885973299,102492.79357279725,0.596663718091666,buy,533.8550272228692
128,105.0,105.7,64159.96389998061,359.9948211872956,102234.316950673,0.37219843330940017,sell,216.7358061239127
129,106.0,106.55,26016.944433431316,717.619547156299,102517.41209748696,0.7458475705258072,buy,357.3579924359794
130,104.5,107.3,4572.418538376929,917.2756775594875,103017.5218433022,0.9554071816233671,buy,199.4653775023463
131,108.0,107.9,59280.079501270084,409.74626712130924,103546.46414704563,0.426973751219594,sell,507.74611217440724
132,110.0,108.2,56398.12567715493,436.3550910526012,103614.62560379575,0.4556656029664007,buy,26.59669920549112
133,109.35,109.15,75916.48961608062,257.35461610283977,104026.28386554636,0.27003037409210473,sell,179.04881051497483
134,102.0,108.1,98709.91286199614,46.288570909491796,103736.5236167976,0.04823561018682354,sell,211.0762260928276
135,107.0,109.4,17165.655966821607,790.921058122229,103773.88251949454,0.8338009685849164,buy,744.0116119236596
136,108.9,109.95,99921.67424285025,37.49807373694671,104127.4263073607,0.03959488247800713,sell,753.4528160798053
137,109.35,110.0,46497.21570847652,522.6897777999177,104046.46235391438,0.5525980822146411,buy,484.9235880577994
138,109.0,113.05,25149.415506161877,711.3361619537086,105587.29508875721,0.7616120200945407,buy,188.502708800072
139,114.75,112.7,79704.46383551946,226.7784158370721,105317.00095834484,0.24267617984058187,sell,484.67533673937623
140,113.9,114.5,88616.72088075713,148.8641955448351,105670.59244886422,0.16130268596849173,sell,77.92678806524529
141,113.2,115.05,43692.69124012685,538.948076380473,105743.5465781904,0.5863807125262636,buy,389.8551431716487
142,112.45,113.8,24327.77184722687,708.9443313811839,105024.98233222468,0.7681778479711721,buy,169.86566764338124
143,113.9,114.9,80871.63813933816,216.33800623871088,105785.47552292491,0.23497778682708703,sell,492.72207668653203
144,114.9,114.95,66628.21458877496,340.1239510512989,105739.69195647797,0.36974997231351003,buy,123.74017496292078
145,115.7,116.6,51847.626084520045,466.76050921230535,106286.66728135641,0.5120517630878928,buy,126.57171368812874
